Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
5603;10;Gyraulus;costulatus;;Zambia;Lwola River Fort Rosebery;Fort Rosebery;11° 11' 60S;28° 52' 60E;-11.20000;28.88330;River;McCullough;28;8;1957;;;;;;
5604;10;Gyraulus;costulatus;;Malawi;Lake Malawi, Domira Bay;Domira Bay;;;;;Lake;Harding;21;5;1954;;;;(McCullough 1958);;
5605;10;Gyraulus;costulatus;;Zambia;Luapula River, Lake Bangwelu;Lake Bangwelu;11° 5' 0S;29° 45' 0E;-11.08333;29.75000;River;McCullough;27;10;1957;;;;;;
5606;10;Gyraulus;costulatus;;Zambia;Nsalushi Island Lake Bangwelo, swamps;Nsalushi Island ;;;-11.53333;30.31667;Lake;McCullough;22;10;1957;;;;;;
5607;10;Gyraulus;costulatus;;Mozambique;Niassa, Vila  Cabral, Muembe-Namasoca;Niassa;14° 11' 56S;37° 29' 48E;-14.19890;37.49670;;Morais;7;8;1956 (59);;;;;;
5608;10;Gyraulus;costulatus;;Mozambique;Zambezia area ;Zambezia;12° 54' 13S;39° 42' 25E;-12.90360;39.70690;;Morais;;;1955;;;;;;
5609;10;Gyraulus;costulatus;;Zimbabwe;Hunyani River, below Lake Mcilwaine;Hunyani River;;;-15.61667;30.65000;River;Cridland;;5;1962;;45;;;;
5610;10;Gyraulus;costulatus;;Zimbabwe;Mokum, 12 miles from Harare (Salisbury) on Beatrice road ;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;;Cridland;;8;1963;;112;;;;
5611;10;Gyraulus;costulatus;;Zimbabwe;Affluent of Nyarungwe River ;Nyarungwe River;;;-17.58333;29.31667;River;Cridland;;5;1962;;51;;;;
5612;10;Gyraulus;costulatus;;Zimbabwe;Small affluent of Hungani, 14 miles from Harare (Harare (Salisbury));Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;;Cridland;;;1963;;161;;;;
5613;10;Gyraulus;costulatus;;Zimbabwe;Ruwa River, 10 miles from Harare (Harare (Salisbury)) to Umtali;Harare;17° 49' 4S;31° 2' 41E;-17.81780;31.04470;River;Cridland;;;1963;;256;;;;
5614;10;Gyraulus;costulatus;;Zimbabwe;Matetsi River, between Wankie and Livingstone;Wankie;;;-18.05000;26.60000;River;Cridland;;7;1962;;70;;;;
5615;10;Gyraulus;costulatus;;Zimbabwe;Sinoia Caves ;Sinoia ;17° 22' 0S;30° 11' 60E;-17.36670;30.20000;;Cridland;;;1964;;336;;mis;;
5616;10;Gyraulus;costulatus;;Zimbabwe;Ngesi Dam on the road to Que Que;Ngesi ;20° 34' 0S;30° 23' 60E;-20.56670;30.40000;Dam;Cridland;;;1963;;115;;mis;;
5617;10;Gyraulus;costulatus;;Zimbabwe;Hungani River at Sinoia;Sinoia;17° 22' 0S;30° 11' 60E;-17.36670;30.20000;River;Cridland;;;1963;;337;;;;
